iter	Passed	Remaining
516	1563	1461
517	1566	1457
518	1569	1454
519	1572	1451
520	1575	1448
521	1578	1445
522	1581	1442
523	1584	1439
524	1587	1436
525	1590	1433
526	1593	1430
527	1596	1427
528	1599	1424
529	1602	1421
530	1605	1417
531	1608	1414
532	1611	1411
533	1614	1408
534	1617	1405
535	1620	1402
536	1623	1399
537	1626	1396
538	1629	1393
539	1632	1390
540	1635	1387
541	1638	1384
542	1641	1381
543	1644	1378
544	1647	1375
545	1650	1372
546	1653	1368
547	1656	1365
548	1659	1362
549	1662	1359
550	1665	1356
551	1667	1353
552	1671	1350
553	1673	1347
554	1677	1344
555	1680	1341
556	1683	1338
557	1686	1335
558	1689	1332
559	1692	1329
560	1695	1326
561	1698	1323
562	1701	1320
563	1704	1317
564	1707	1314
565	1710	1311
566	1712	1308
567	1715	1304
568	1718	1301
569	1721	1298
570	1724	1295
571	1727	1292
572	1730	1289
573	1733	1286
574	1736	1283
575	1739	1280
576	1742	1277
577	1745	1274
578	1748	1271
579	1751	1268
580	1754	1265
581	1757	1262
582	1760	1259
583	1763	1256
584	1767	1253
585	1770	1250
586	1773	1247
587	1776	1244
588	1779	1241
589	1782	1238
590	1785	1235
591	1788	1232
592	1791	1229
593	1794	1226
594	1797	1223
595	1800	1220
596	1803	1217
597	1806	1214
598	1809	1211
599	1812	1208
600	1815	1205
601	1818	1202
602	1821	1199
603	1824	1196
604	1827	1193
605	1830	1190
606	1833	1187
607	1836	1184
608	1839	1180
609	1842	1177
610	1845	1174
611	1848	1171
612	1851	1168
613	1854	1165
614	1857	1162
615	1860	1159
616	1863	1156
617	1866	1153
618	1869	1150
619	1872	1147
620	1875	1144
621	1878	1141
622	1881	1138
623	1883	1135
624	1886	1132
625	1890	1129
626	1893	1126
627	1896	1123
628	1899	1120
629	1901	1116
630	1904	1113
631	1907	1110
632	1910	1107
633	1913	1104
634	1916	1101
635	1920	1098
636	1923	1096
637	1926	1093
638	1930	1090
639	1933	1087
640	1936	1084
641	1939	1081
642	1951	1083
643	1954	1080
644	1957	1077
645	1960	1074
646	1964	1071
647	1967	1068
648	1970	1065
649	1973	1062
650	1976	1059
651	1979	1056
652	1982	1053
653	1985	1050
654	1988	1047
655	1991	1044
656	1994	1041
657	1997	1038
658	2000	1034
659	2003	1031
660	2006	1028
661	2009	1025
662	2012	1022
663	2015	1019
664	2018	1016
665	2021	1013
666	2024	1010
667	2027	1007
668	2030	1004
669	2033	1001
670	2036	998
671	2039	995
672	2042	992
673	2045	989
674	2048	986
675	2051	983
676	2054	980
677	2057	977
678	2060	974
679	2063	971
680	2067	968
681	2070	965
682	2073	962
683	2076	959
684	2079	956
685	2082	953
686	2085	950
687	2088	947
688	2091	944
689	2094	941
690	2097	938
691	2101	935
692	2104	932
693	2107	929
694	2111	926
695	2114	923
696	2117	920
697	2120	917
698	2124	914
699	2127	911
700	2130	908
701	2133	905
702	2136	902
703	2139	899
704	2142	896
705	2145	893
706	2149	890
707	2151	887
708	2154	884
709	2157	881
710	2160	878
711	2163	875
712	2166	872
713	2169	869
714	2172	866
715	2175	862
716	2178	859
717	2181	856
718	2184	853
719	2187	850
720	2190	847
721	2193	844
722	2196	841
723	2199	838
724	2202	835
725	2205	832
726	2208	829
727	2211	826
728	2214	823
729	2217	820
730	2220	817
731	2223	814
732	2226	810
733	2229	807
734	2232	804
735	2235	801
736	2238	798
737	2241	795
738	2244	792
739	2247	789
740	2250	786
741	2253	783
742	2256	780
743	2259	777
744	2262	774
745	2265	771
746	2268	768
747	2272	765
748	2275	762
749	2278	759
750	2281	756
751	2284	753
752	2287	750
753	2290	747
754	2293	744
755	2296	741
756	2299	738
757	2302	735
758	2305	732
759	2308	729
760	2311	725
761	2314	722
762	2317	719
763	2320	716
764	2323	713
765	2326	710
766	2329	707
767	2332	704
768	2335	701
769	2338	698
770	2341	695
771	2344	692
772	2347	689
773	2350	686
774	2353	683
775	2356	680
776	2359	677
777	2362	674
778	2365	671
779	2368	668
780	2371	665
781	2374	662
782	2377	659
783	2380	655
784	2383	652
785	2386	649
786	2389	646
787	2393	643
788	2396	640
789	2399	637
790	2402	634
791	2405	631
792	2408	628
793	2411	625
794	2414	622
795	2417	619
796	2420	616
797	2423	613
798	2426	610
799	2429	607
800	2432	604
801	2435	601
802	2438	598
803	2441	595
804	2444	592
805	2447	589
806	2450	586
807	2453	583
808	2456	580
809	2459	577
810	2462	573
811	2465	570
812	2468	567
813	2471	564
814	2474	561
815	2477	558
816	2480	555
817	2483	552
818	2486	549
819	2489	546
820	2492	543
821	2495	540
822	2498	537
823	2501	534
824	2504	531
825	2507	528
826	2510	525
827	2513	522
828	2516	519
829	2519	515
830	2522	512
831	2525	510
832	2528	506
833	2531	503
834	2534	500
835	2537	497
836	2540	494
837	2543	491
838	2546	488
839	2549	485
840	2553	482
841	2555	479
842	2559	476
843	2562	473
844	2564	470
845	2567	467
846	2570	464
847	2573	461
848	2576	458
849	2579	455
850	2582	452
851	2585	449
852	2588	446
853	2591	443
854	2594	440
855	2597	437
856	2600	433
857	2603	430
858	2606	427
859	2609	424
860	2612	421
861	2616	418
862	2619	415
863	2621	412
864	2624	409
865	2627	406
866	2631	403
867	2633	400
868	2637	397
869	2639	394
870	2642	391
871	2645	388
872	2648	385
873	2652	382
874	2655	379
875	2657	376
876	2660	373
877	2663	370
878	2666	367
879	2669	364
880	2673	361
881	2675	358
882	2679	354
883	2682	351
884	2685	348
885	2687	345
886	2690	342
887	2694	339
888	2697	336
889	2699	333
890	2702	330
891	2705	327
892	2708	324
893	2711	321
894	2715	318
895	2718	315
896	2721	312
897	2724	309
898	2727	306
899	2730	303
900	2733	300
901	2736	297
902	2739	294
903	2742	291
904	2745	288
905	2748	285
906	2751	282
907	2754	279
908	2757	276
909	2760	273
910	2764	270
911	2767	267
912	2770	263
913	2773	260
914	2776	257
915	2779	254
916	2782	251
917	2785	248
918	2788	245
919	2791	242
920	2794	239
921	2797	236
922	2800	233
923	2803	230
924	2806	227
925	2809	224
926	2812	221
927	2815	218
928	2818	215
929	2821	212
930	2824	209
931	2827	206
932	2830	203
933	2832	200
934	2835	197
935	2838	194
936	2841	191
937	2844	188
938	2847	184
939	2850	181
940	2853	178
941	2856	175
942	2859	172
943	2862	169
944	2865	166
945	2869	163
946	2872	160
947	2875	157
948	2878	154
949	2881	151
950	2884	148
951	2887	145
952	2890	142
953	2893	139
954	2896	136
955	2899	133
956	2902	130
957	2905	127
958	2908	124
959	2911	121
960	2914	118
961	2917	115
962	2920	112
963	2923	109
964	2926	106
965	2930	103
966	2933	100
967	2936	97
968	2939	94
969	2942	90
970	2945	87
971	2948	84
972	2951	81
973	2954	78
974	2957	75
975	2960	72
976	2963	69
977	2966	66
978	2969	63
979	2972	60
980	2975	57
981	2978	54
982	2981	51
983	2984	48
984	2987	45
985	2990	42
986	2993	39
987	2996	36
988	2999	33
989	3003	30
990	3006	27
991	3009	24
992	3011	21
993	3014	18
994	3017	15
995	3021	12
996	3024	9
997	3027	6
998	3029	3
999	3032	0
